,valence,text,,,,,
0,0,"Genoptagelse af sessionen Jeg erklærer Europa-Parlamentets session , der blev afbrudt fredag den 17. december , for genoptaget .",,,,,
1,2,"Endnu en gang vil jeg ønske Dem godt nytår , og jeg håber , De har haft en god ferie .",,,,,
2,1,"Som De kan se , indfandt det store "" år 2000-problem "" sig ikke .",,,,,
3,-3,Til gengæld har borgerne i en del af medlemslandene været ramt af meget forfærdelige naturkatastrofer .,,,,,
4,0,De har udtrykt ønske om en debat om dette emne i løbet af mødeperioden .,,,,,
5,,"I mellemtiden ønsker jeg - som også en del kolleger har anmodet om - at vi iagttager et minuts stilhed til minde om ofrene for bl.a. stormene i de medlemslande , der blev ramt .",,,,,
6,,Jeg opfordrer Dem til stående at iagttage et minuts stilhed .,,,,,
7,0,"( Parlamentet iagttog stående et minuts stilhed Fru formand , en bemærkning til forretningsordenen .",,,,,
8,-3,Gennem pressen og tv vil De være bekendt med en række bombeeksplosioner og drab i Sri Lanka .,,,,,
9,-3,"En af de personer , der blev myrdet for ganske nylig i Sri Lanka , var hr . Kumar Ponnambalam , der besøgte Europa-Parlamentet for få måneder siden .",,,,,
10,,,,,,,
11,-3,"Ville det være passende , hvis De , fru formand , sendte en skrivelse til Sri Lankas præsident for at udtrykke vores dybe beklagelse i forbindelse med Kumar Ponnambalams død og de andre voldsomme dødsfald i Sri Lanka og for indtrængende at anmode præsidenten om at gøre alt for at opnå en fredelig løsning på en meget vanskelig situation ?",,,,,
12,0,"Ja , hr .",,,,,
13,2,"Evans , jeg mener , at et initiativ , som det , De foreslår , ville være meget hensigtsmæssigt .",,,,,
14,0,"Hvis Europa-Parlamentet er enigt , vil jeg gøre , som hr . Evans har foreslået .",,,,,
15,,,,,,,
16,0,"Fru formand , en bemærkning til forretningsordenen .",,,,,
17,0,Jeg vil gerne have Deres råd om artikel 143 vedrørende afvisning .,,,,,
18,0,"Mit spørgsmål omhandler et emne , der vil blive behandlet på torsdag , og jeg vil gerne tage emnet op igen ved den lejlighed .",,,,,
19,0,"Betænkningen af Cunha om flerårige udviklingsprogrammer skal forhandles af Parlamentet på torsdag og indeholder et forslag i punkt 6 om , at der skal indføres kvotesanktioner for lande , der ikke overholder deres årlige målsætninger for flådereduktion .",,,,,
20,0,Dette skal i henhold til punkt 6 indføres til trods for princippet om relativ stabilitet .,,,,,
21,,"Jeg mener , at princippet om relativ stabilitet er et grundlæggende retsprincip for den fælles fiskeripolitik , og at der vil være juridisk belæg for at afvise et forslag om at undergrave dette princip .",,,,,
22,,"Jeg vil gerne vide , om man kan gøre indsigelse mod noget , der bare er en betænkning og ikke et forslag til retsakt , og om det er noget , jeg kan gøre på torsdag ?",,,,,
23,,"Det er netop dér , De - hvis De ønsker det - kan rejse dette spørgsmål , det vil sige på torsdag ved forhandlingens begyndelse .",,,,,
24,,"Fru formand , samtidig med Europa-Parlamentets første mødeperiode i år har man i Texas i USA fastsat datoen for henrettelsen af en dødsdømt , nemlig en ung mand på 34 år ved navn Hicks , og det er desværre på næste torsdag .",,,,,
25,,"På anmodning af et fransk parlamentsmedlem , hr . Zimeray , er der allerede indgivet et andragende , som mange har skrevet under på , heriblandt undertegnede , men i tråd med den holdning , som Europa-Parlamentet og hele Det Europæiske Fællesskab konstant giver udtryk for , anmoder jeg Dem om at gøre den indflydelse , De har i kraft af Deres embede og den institution , De repræsenterer , gældende over for præsidenten og Texas ' guvernør Bush , som har beføjelse til at ophæve dødsdommen og benåde den dømte .",,,,,
26,,,,,,,
27,1,"Alt dette er i tråd med de principper , vi altid har været tilhængere af .",,,,,
28,2,"Tak , hr .",,,,,
29,2,"Segni , det gør jeg med glæde .",,,,,
30,1,"Det er således helt i tråd med den holdning , Europa-Parlamentet altid har indtaget .",,,,,
31,0,"Fru formand , jeg vil gerne gøre Dem opmærksom på en sag , som Parlamentet har beskæftiget sig med gentagne gange .",,,,,
32,0,Det drejer sig om Alexander Nikitin .,,,,,
33,2,"Vi glæder os alle sammen over , at domstolen har frifundet ham og understreget , at adgangen til miljøinformationer også er konstitutionel ret i Rusland .",,,,,
34,-1,"Men nu er det sådan , at han skal anklages igen , fordi statsadvokaten har anket dommen .",,,,,
35,-2,"Vi ved og har fastslået i virkelig mange beslutninger - netop på det sidste møde sidste år - at dette ikke bare er en juridisk sag , og at det er forkert at beskylde Alexander Nikitin for at have begået kriminalitet og forræderi , fordi vi som berørte nyder godt af hans resultater .",,,,,
36,0,"Disse resultater er grundlaget for de europæiske programmer til beskyttelse af Barentsee , og derfor beder jeg Dem gennemgå et brevudkast , som beskriver de vigtigste fakta , og tydeliggøre denne holdning i Rusland i overensstemmelse med Parlamentets beslutninger .",,,,,
37,2,"Ja , fru Schroedter , jeg skal med glæde undersøge dette spørgsmål , når jeg har modtaget Deres brev .",,,,,
38,3,"Fru formand , jeg vil gerne først give Dem en kompliment for den kendsgerning , at De har holdt Deres ord , og at antallet af tv-kanaler på vores kontorer faktisk er udvidet enormt nu i denne første mødeperiode i det nye år .",,,,,
39,-2,"Men , fru formand , det , som jeg havde anmodet om , er ikke sket .",,,,,
40,-2,"Der er nu ganske vist to finske kanaler og en portugisisk kanal , men der er stadig ingen nederlandsk kanal , og jeg havde anmodet Dem om en nederlandsk kanal , fordi også nederlændere gerne vil følge med i nyhederne hver måned , når vi forvises til dette sted .",,,,,
41,-1,"Jeg vil således endnu en gang anmode Dem om alligevel at sørge for , at vi også får en nederlandsk kanal .",,,,,
42,0,"Fru Plooij-van Gorsel , jeg kan oplyse Dem om , at dette spørgsmål er opført på dagsordenen for kvæstorernes møde på onsdag .",,,,,
43,1,"Det vil , håber jeg , blive behandlet i en positiv ånd .",,,,,
